Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
-36,100,2019-03-09 00:00:00,86400,55.5589386635314,55.7968025123993,59.1401709084883,65.4732302971463,55.8817258542431,249.09201952899,246.382051708552,252.398818632214,264.035512898747,252.384406907131
-36,100,2019-06-28 03:00:00,97200,56.6943165573415,52.5068343986765,55.7300588886144,65.179108778008,55.2575193774263,253.056144728791,252.772511773549,256.6908213046,261.942393321429,255.328249204098
-36,101,2019-03-09 18:00:00,64800,59.0765650455215,62.5966218975989,67.4189052861556,72.4013579029516,65.951638707607,255.32360686255,253.028083085652,256.324354579063,264.91698714923,258.955017218998
-36,101,2019-03-09 21:00:00,75600,55.2424736405412,61.1693610358687,66.9284035531957,67.0400938734885,59.3589128991025,258.017891152406,261.226151931669,265.001427582532,264.008385384971,256.555351975899
-36,101,2019-03-09 00:00:00,86400,56.2658203755335,57.8991629270611,62.2130458988807,68.3738838154013,56.9002165139716,249.999982091486,247.912828396772,254.226736824374,264.2894068625,253.731965860265
-36,101,2019-06-28 03:00:00,97200,58.0207462018253,53.5351853932111,57.9855686864669,67.511876838579,55.9641572892071,254.054604099077,254.197486046064,258.200371932851,263.386539517685,256.542969617609
-36,102,2019-03-09 18:00:00,64800,61.465149727956,63.2574307836043,69.0680527170448,75.2295443764201,69.2207909280934,254.029714535259,252.288866055211,256.159304508344,265.851096302266,257.017442938386
-36,102,2019-03-09 21:00:00,75600,56.3141512211925,62.8331007078727,68.7277551744313,69.8500442675933,61.4147200560774,259.659774851252,263.248742068418,266.757247022377,265.050978574089,258.867893707056
-36,102,2019-03-09 00:00:00,86400,56.3084476559557,60.1355242100065,65.0145518172371,71.3751005225203,57.5735762317836,251.064664078286,250.159301916032,256.337690320543,263.745967256084,254.931511840508
-36,102,2019-06-28 03:00:00,97200,57.6617804929056,54.9314082654906,59.1315449790067,69.6734717047054,56.8852731399084,255.354748287901,255.029401761515,259.391914953799,264.877932482831,257.76849907877
-36,103,2019-03-09 18:00:00,64800,63.602639319399,64.1839672810097,70.1682091086696,77.638278143358,72.1498936521702,253.669751586345,252.552811576718,257.195733934713,267.416979331365,257.23678655213
-36,103,2019-03-09 21:00:00,75600,58.6426022009923,64.120061156929,70.0391205260338,73.6786299224964,64.0410476068856,261.03724686071,263.909168960777,267.614055969611,265.763605200941,260.566268497941
-36,103,2019-03-09 00:00:00,86400,56.4378100980997,62.1118392129737,68.0095603569828,73.9961626171527,58.7465696816476,252.563569327157,253.266405782404,258.625834616215,263.211025425561,256.607502246249
-36,103,2019-06-28 03:00:00,97200,56.7206361892968,55.1603337421013,60.8774110679215,71.5318926484255,57.8315788097993,256.725750234208,255.718904264029,260.627907291421,265.792359479122,258.954449602474
-36,104,2019-03-09 18:00:00,64800,64.2733878943574,64.8361747055458,71.0086153633264,79.7035503248977,74.4515279158404,254.744881296942,254.880474526749,260.228252647979,269.301305617017,256.870833679651
-36,104,2019-03-09 21:00:00,75600,61.0073046851269,64.6602273893387,70.4275542499675,77.1059676569211,67.0781276122905,261.017882615021,264.306545892654,267.627222872634,266.67594923224,262.339524665534
-36,104,2019-03-09 00:00:00,86400,57.6129405412529,63.9477569530729,71.3380335489055,75.9267251244958,59.6608278041787,255.541782152156,257.35784767211,261.538711857429,263.38442777585,258.726678242731
-36,104,2019-06-28 03:00:00,97200,56.1256275381292,55.632000754523,61.6882043379162,73.0195034799198,58.1612435003864,257.60033357369,256.25508849343,261.665635482642,266.642496000482,260.380272200301
-36,105,2019-03-09 18:00:00,64800,64.5168985780323,65.4556260483587,72.1907311434114,81.2759481864249,76.5166428674677,257.471192290848,258.523219484173,265.056989281386,271.3704510178,256.034361277004
