time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,NN6RF,37.938,-122.292,21.096099,-18,0,37,2337,,
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,N6RY,33.146,-117.292,21.096102,5,0,37,1877,,
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,VE6PDQ/1,53.479,-113.542,21.096099,1,0,37,2625,,
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,VE6PDQ,54.729,-113.292,21.096096,-1,0,37,2729,,
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,KU4PY,32.396,-86.125,21.096097,-17,0,37,1031,,
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,K9AN,40.104,-88.125,21.096097,-16,0,37,1128,,
2014-03-07 22:54:00,21,AD4PT,32.979,-97.125,K4RCG,38.479,-78.042,21.096096,-7,0,37,1824,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,K6CCA,37.146,-121.625,14.097147,-3,0,37,2271,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,AE9RB,45.479,-122.625,14.097142,-21,0,37,2582,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,W7ZWW,45.312,-122.542,14.09713,-15,0,37,2569,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,WQ7Q,47.521,-122.958,14.097164,-6,0,37,2706,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,AF6CH,39.021,-119.875,14.09714,0,-1,37,2147,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,AF5ES,35.812,-106.208,14.097151,6,0,37,891,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,K7UEB/20,46.062,-118.375,14.097153,-10,0,37,2319,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,VE7ENP,49.896,-119.458,14.097093,-8,0,37,2627,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,AD7LF,47.688,-114.125,14.09714,-19,1,37,2170,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,W4AC,26.521,-82.958,14.097168,3,0,37,1538,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,W4MO,27.521,-82.958,14.097186,-6,0,37,1483,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,AI4RY,32.604,-85.458,14.097151,-3,0,37,1091,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,K4EH,33.521,-84.958,14.097181,-3,0,37,1125,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,K4COD,33.104,-84.458,14.097147,4,0,37,1180,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,K9AN,40.104,-88.125,14.097147,-7,0,37,1128,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,W9HLY,40.812,-84.958,14.097147,-8,0,37,1387,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,VE1AIM,44.771,-63.708,14.097153,-14,0,37,3147,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,GM4SFW,57.521,-4.375,14.097156,-13,0,37,7122,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,G4DND,50.521,-2.958,14.097148,-21,0,37,7511,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,2E0DSS,52.479,-2.042,14.097145,-23,0,37,7480,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,DK6UG,49.521,8.208,14.097144,-12,0,37,8265,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,OZ7IT,55.229,12.292,14.097148,-8,0,37,8146,,
2014-03-07 22:58:00,14,AD4PT,32.979,-97.125,4X1RF,32.771,34.958,14.097146,-22,0,37,11148,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,KV0S,38.521,-92.958,10.140248,-3,0,37,714,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,K9AN,40.104,-88.125,10.140222,-6,0,37,1128,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,KB9VLR,44.396,-88.208,10.140225,-1,0,37,1485,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,YV4GJN,10.521,-68.958,10.140199,-13,0,37,3806,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,WD4ELG,36.521,-78.958,10.140212,-9,0,37,1695,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,K4RCG,38.479,-78.042,10.140234,-13,0,37,1824,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,W3BI,40.562,-75.625,10.140216,-11,0,37,2085,,
